dataset,fea_dim_pair,model,seed,auc,bce_loss
avazu,"{'C1': 1, 'C14': 7, 'C15': 2, 'C16': 2, 'C17': 6, 'C19': 3, 'C20': 6, 'C21': 4, 'app_category': 1, 'app_domain': 3, 'app_id': 9, 'banner_pos': 1, 'device_conn_type': 3, 'device_id': 6, 'device_ip': 10, 'device_model': 7, 'device_type': 1, 'hour': 3, 'site_category': 2, 'site_domain': 6, 'site_id': 8}",widedeep,1,0.7861197224303259,0.3763539843344278
avazu,"{'C1': 2, 'C14': 5, 'C15': 1, 'C16': 2, 'C17': 7, 'C18': 1, 'C19': 4, 'C20': 5, 'C21': 4, 'app_category': 3, 'app_domain': 4, 'app_id': 8, 'banner_pos': 1, 'device_conn_type': 2, 'device_id': 3, 'device_ip': 9, 'device_model': 9, 'device_type': 1, 'hour': 5, 'site_category': 3, 'site_domain': 5, 'site_id': 9}",widedeep,0,0.785923876521268,0.37660197652461197
avazu,"{'C1': 2, 'C14': 5, 'C15': 1, 'C16': 2, 'C17': 7, 'C18': 1, 'C19': 4, 'C20': 5, 'C21': 4, 'app_category': 3, 'app_domain': 4, 'app_id': 8, 'banner_pos': 1, 'device_conn_type': 2, 'device_id': 3, 'device_ip': 9, 'device_model': 9, 'device_type': 1, 'hour': 5, 'site_category': 3, 'site_domain': 5, 'site_id': 9}",widedeep,1,0.7860114771648921,0.37664048242351567
avazu,"{'C1': 1, 'C14': 7, 'C16': 2, 'C17': 6, 'C20': 5, 'C21': 2, 'app_id': 14, 'banner_pos': 3, 'device_conn_type': 1, 'device_id': 11, 'device_ip': 16, 'device_model': 11, 'hour': 4, 'site_domain': 9, 'site_id': 12}",widedeep,0,0.787131331627889,0.375720417759218
avazu,"{'C1': 1, 'C14': 7, 'C16': 2, 'C17': 6, 'C20': 5, 'C21': 2, 'app_id': 14, 'banner_pos': 3, 'device_conn_type': 1, 'device_id': 11, 'device_ip': 16, 'device_model': 11, 'hour': 4, 'site_domain': 9, 'site_id': 12}",widedeep,1,0.7864506527795296,0.37614285456735674
avazu,"{'C14': 7, 'C16': 5, 'C17': 7, 'C20': 5, 'C21': 3, 'app_category': 1, 'app_id': 10, 'banner_pos': 2, 'device_conn_type': 1, 'device_id': 12, 'device_ip': 15, 'device_model': 8, 'device_type': 1, 'hour': 4, 'site_domain': 10, 'site_id': 11}",widedeep,0,0.7869295562276567,0.37585461444646995
avazu,"{'C14': 7, 'C16': 5, 'C17': 7, 'C20': 5, 'C21': 3, 'app_category': 1, 'app_id': 10, 'banner_pos': 2, 'device_conn_type': 1, 'device_id': 12, 'device_ip': 15, 'device_model': 8, 'device_type': 1, 'hour': 4, 'site_domain': 10, 'site_id': 11}",widedeep,1,0.7866802676450891,0.37606095265230993
avazu,"{'C1': 4, 'C14': 6, 'C15': 4, 'C16': 4, 'C17': 5, 'C18': 6, 'C19': 7, 'C20': 8, 'C21': 9, 'app_category': 5, 'app_domain': 4, 'app_id': 5, 'banner_pos': 9, 'device_conn_type': 2, 'device_id': 4, 'device_ip': 7, 'device_model': 5, 'device_type': 3, 'hour': 2, 'site_category': 6, 'site_domain': 8, 'site_id': 4}",widedeep,0,0.7857100380935901,0.3766006612970957
avazu,"{'C1': 4, 'C14': 6, 'C15': 4, 'C16': 4, 'C17': 5, 'C18': 6, 'C19': 7, 'C20': 8, 'C21': 9, 'app_category': 5, 'app_domain': 4, 'app_id': 5, 'banner_pos': 9, 'device_conn_type': 2, 'device_id': 4, 'device_ip': 7, 'device_model': 5, 'device_type': 3, 'hour': 2, 'site_category': 6, 'site_domain': 8, 'site_id': 4}",widedeep,1,0.7862415971860613,0.37630983725144873
avazu,"{'C1': 9, 'C14': 6, 'C15': 9, 'C16': 12, 'C17': 5, 'C18': 4, 'C19': 7, 'C20': 1, 'C21': 7, 'app_category': 2, 'app_domain': 3, 'app_id': 4, 'banner_pos': 5, 'device_conn_type': 6, 'device_id': 9, 'device_ip': 5, 'device_model': 3, 'device_type': 10, 'hour': 3, 'site_category': 7, 'site_domain': 10, 'site_id': 6}",widedeep,0,0.7850599215028942,0.3769388587762278
avazu,"{'C1': 9, 'C14': 6, 'C15': 9, 'C16': 12, 'C17': 5, 'C18': 4, 'C19': 7, 'C20': 1, 'C21': 7, 'app_category': 2, 'app_domain': 3, 'app_id': 4, 'banner_pos': 5, 'device_conn_type': 6, 'device_id': 9, 'device_ip': 5, 'device_model': 3, 'device_type': 10, 'hour': 3, 'site_category': 7, 'site_domain': 10, 'site_id': 6}",widedeep,1,0.7851534137889989,0.37690652524929763
avazu,"{'C16': 3, 'app_id': 7, 'banner_pos': 3, 'device_id': 7, 'device_ip': 6, 'device_model': 1, 'site_id': 7}",widedeep,0,0.7754500048318435,0.3823049137295198
avazu,"{'C16': 3, 'app_id': 7, 'banner_pos': 3, 'device_id': 7, 'device_ip': 6, 'device_model': 1, 'site_id': 7}",widedeep,1,0.7755846352714806,0.38220950148871363
avazu,"{'C16': 2, 'C21': 1, 'app_id': 6, 'banner_pos': 4, 'device_id': 7, 'device_ip': 8, 'device_model': 1, 'hour': 1, 'site_id': 4}",widedeep,0,0.7800945604050716,0.37997182155935716
avazu,"{'C16': 2, 'C21': 1, 'app_id': 6, 'banner_pos': 4, 'device_id': 7, 'device_ip': 8, 'device_model': 1, 'hour': 1, 'site_id': 4}",widedeep,1,0.7804155086640762,0.3797887627114641
avazu,"{'C1': 6, 'C14': 6, 'C15': 15, 'C16': 8, 'C17': 5, 'C18': 11, 'C19': 3, 'C20': 5, 'C21': 6, 'app_category': 6, 'app_domain': 7, 'app_id': 8, 'banner_pos': 3, 'device_conn_type': 9, 'device_id': 11, 'device_ip': 8, 'device_model': 8, 'device_type': 15, 'hour': 15, 'site_category': 2, 'site_domain': 9, 'site_id': 7}",widedeep,0,0.7858398478676861,0.3765632877354685
avazu,"{'C1': 6, 'C14': 6, 'C15': 15, 'C16': 8, 'C17': 5, 'C18': 11, 'C19': 3, 'C20': 5, 'C21': 6, 'app_category': 6, 'app_domain': 7, 'app_id': 8, 'banner_pos': 3, 'device_conn_type': 9, 'device_id': 11, 'device_ip': 8, 'device_model': 8, 'device_type': 15, 'hour': 15, 'site_category': 2, 'site_domain': 9, 'site_id': 7}",widedeep,1,0.7857170485820909,0.37655738252757653
avazu,"{'C1': 13, 'C14': 5, 'C15': 15, 'C16': 1, 'C17': 13, 'C18': 12, 'C19': 4, 'C20': 6, 'C21': 13, 'app_category': 7, 'app_domain': 15, 'app_id': 13, 'banner_pos': 10, 'device_conn_type': 7, 'device_id': 8, 'device_ip': 9, 'device_model': 10, 'device_type': 12, 'hour': 7, 'site_category': 5, 'site_domain': 10, 'site_id': 8}",widedeep,0,0.7863271249898672,0.3762511041207879
avazu,"{'C1': 13, 'C14': 5, 'C15': 15, 'C16': 1, 'C17': 13, 'C18': 12, 'C19': 4, 'C20': 6, 'C21': 13, 'app_category': 7, 'app_domain': 15, 'app_id': 13, 'banner_pos': 10, 'device_conn_type': 7, 'device_id': 8, 'device_ip': 9, 'device_model': 10, 'device_type': 12, 'hour': 7, 'site_category': 5, 'site_domain': 10, 'site_id': 8}",widedeep,1,0.7863016792769281,0.37626689053475554
criteo,"{'1': 2, '2': 3, '3': 2, '4': 2, '5': 2, '6': 3, '7': 2, '8': 2, '9': 2, '10': 1, '11': 3, '12': 1, '13': 2, '15': 2, '16': 4, '17': 3, '19': 4, '20': 4, '23': 3, '24': 2, '25': 1, '26': 5, '27': 2, '28': 6, '29': 1, '30': 4, '31': 5, '32': 2, '33': 2, '34': 2, '35': 1, '36': 3, '37': 4, '38': 1, '39': 3}",widedeep,0,0.7998229384375007,0.45348722259310126
criteo,"{'1': 2, '2': 3, '3': 2, '4': 2, '5': 2, '6': 3, '7': 2, '8': 2, '9': 2, '10': 1, '11': 3, '12': 1, '13': 2, '15': 2, '16': 4, '17': 3, '19': 4, '20': 4, '23': 3, '24': 2, '25': 1, '26': 5, '27': 2, '28': 6, '29': 1, '30': 4, '31': 5, '32': 2, '33': 2, '34': 2, '35': 1, '36': 3, '37': 4, '38': 1, '39': 3}",widedeep,1,0.7996365861774289,0.45339809364778216
criteo,"{'1': 2, '2': 3, '3': 2, '4': 1, '5': 2, '6': 2, '7': 1, '8': 2, '9': 2, '10': 1, '11': 3, '12': 2, '13': 2, '15': 3, '16': 3, '17': 3, '19': 4, '20': 2, '23': 3, '24': 4, '25': 3, '26': 5, '27': 2, '28': 3, '29': 2, '30': 4, '31': 3, '32': 2, '33': 3, '34': 1, '35': 1, '36': 3, '37': 4, '38': 1, '39': 2}",widedeep,0,0.7994417401092654,0.4538965080602559
criteo,"{'1': 2, '2': 3, '3': 2, '4': 1, '5': 2, '6': 2, '7': 1, '8': 2, '9': 2, '10': 1, '11': 3, '12': 2, '13': 2, '15': 3, '16': 3, '17': 3, '19': 4, '20': 2, '23': 3, '24': 4, '25': 3, '26': 5, '27': 2, '28': 3, '29': 2, '30': 4, '31': 3, '32': 2, '33': 3, '34': 1, '35': 1, '36': 3, '37': 4, '38': 1, '39': 2}",widedeep,1,0.7993677632284827,0.4536970381069865
criteo,"{'1': 1, '2': 3, '3': 2, '4': 1, '5': 4, '6': 5, '7': 1, '8': 3, '9': 5, '11': 6, '12': 1, '13': 3, '15': 2, '16': 1, '17': 4, '19': 3, '20': 4, '23': 4, '24': 3, '25': 2, '26': 4, '27': 2, '28': 7, '29': 2, '30': 3, '31': 3, '32': 1, '33': 1, '35': 1, '36': 5, '37': 3, '38': 1, '39': 4}",widedeep,0,0.7996351978322531,0.4534848742020567
criteo,"{'1': 1, '2': 3, '3': 2, '4': 1, '5': 4, '6': 5, '7': 1, '8': 3, '9': 5, '11': 6, '12': 1, '13': 3, '15': 2, '16': 1, '17': 4, '19': 3, '20': 4, '23': 4, '24': 3, '25': 2, '26': 4, '27': 2, '28': 7, '29': 2, '30': 3, '31': 3, '32': 1, '33': 1, '35': 1, '36': 5, '37': 3, '38': 1, '39': 4}",widedeep,1,0.7993318309941453,0.45406160243288335
criteo,"{'1': 1, '2': 3, '3': 3, '4': 1, '5': 4, '6': 4, '8': 3, '9': 3, '10': 1, '11': 7, '12': 1, '13': 3, '15': 1, '16': 1, '17': 4, '19': 3, '20': 6, '23': 3, '24': 2, '25': 2, '26': 4, '27': 2, '28': 6, '29': 1, '30': 3, '31': 4, '32': 1, '33': 2, '35': 1, '36': 4, '37': 4, '39': 5}",widedeep,0,0.7994687151338936,0.4535622439606047
criteo,"{'1': 1, '2': 3, '3': 3, '4': 1, '5': 4, '6': 4, '8': 3, '9': 3, '10': 1, '11': 7, '12': 1, '13': 3, '15': 1, '16': 1, '17': 4, '19': 3, '20': 6, '23': 3, '24': 2, '25': 2, '26': 4, '27': 2, '28': 6, '29': 1, '30': 3, '31': 4, '32': 1, '33': 2, '35': 1, '36': 4, '37': 4, '39': 5}",widedeep,1,0.799424119362969,0.4536222007468516
